exact,abs_error_exact,ipa_result,node_id
0.739072488,0.0,0.739072488,1
0.700462056,1.1102230246251565e-16,0.7004620559999999,2
0.7475521535999999,1.1102230246251565e-16,0.7475521536,3
0.34699275934202883,5.551115123125783e-17,0.3469927593420289,4
0.44665394359019844,1.1102230246251565e-16,0.44665394359019855,5
0.5619054100346128,0.0,0.5619054100346128,6
0.4532546174216527,1.1102230246251565e-16,0.4532546174216526,7
0.4808449457999999,1.1102230246251565e-16,0.48084494580000003,8
0.2628838558785922,5.551115123125783e-17,0.26288385587859225,9
0.3040177635677952,0.0,0.3040177635677952,10
0.5057427846406722,2.220446049250313e-16,0.5057427846406725,11
0.46819065964050915,0.0,0.46819065964050915,12
0.21645753424261238,2.7755575615628914e-17,0.2164575342426124,13
0.83,0.0,0.83,14
0.3881758608,0.0,0.3881758608,15
0.1292509066694446,2.7755575615628914e-17,0.12925090666944464,16
0.47891897222400004,0.0,0.47891897222400004,17
0.5188288865760001,0.0,0.5188288865760001,18
0.5333147073408,0.0,0.5333147073408,19
0.4931252874240001,1.1102230246251565e-16,0.49312528742399997,20
0.4465445607,1.1102230246251565e-16,0.44654456069999987,21
0.642669,0.0,0.642669,22
0.36390345498143994,5.551115123125783e-17,0.36390345498144,23
0.18990729748669505,0.0,0.18990729748669505,24
0.4250814426911844,1.6653345369377348e-16,0.4250814426911846,25
0.373845066406385,1.1102230246251565e-16,0.3738450664063851,26
0.40575189658599375,1.1102230246251565e-16,0.40575189658599387,27
0.48568463419391994,1.1102230246251565e-16,0.48568463419392005,28
0.50654133927936,1.1102230246251565e-16,0.5065413392793601,29
0.32234926916249057,0.0,0.32234926916249057,30
0.3079411870762709,1.1102230246251565e-16,0.3079411870762708,31
0.6790331347140866,2.220446049250313e-16,0.6790331347140863,32
0.578676,0.0,0.578676,33
0.884058,0.0,0.884058,34
0.85652,0.0,0.85652,35
0.874944,0.0,0.874944,36
0.98,0.0,0.98,37
