Node,AlgoValue,Exact,Diff
24,0.7981281162685694,0.763832,0.03429611626856943
29,0.8201258774893442,0.793743,0.026382877489344203
17,0.63317805087861,0.632313,0.0008650508786099964
18,0.7035311676429,0.702712,0.0008191676429000205
16,0.8433478916000718,0.842711,0.0006368916000718539
11,0.5691733110000001,0.569747,0.0005736889999998773
15,0.8479904005629035,0.847558,0.00043240056290350104
21,0.7290000000000001,0.728571,0.0004290000000001237
20,0.7345105110000001,0.734092,0.0004185110000001213
19,0.781701297381,0.781315,0.00038629738100004474
6,0.5904900000000002,0.590874,0.0003839999999998289
27,0.47829690000000014,0.478676,0.00037909999999985455
3,0.81,0.809742,0.0002580000000000915
25,0.6868722244559519,0.687098,0.0002257755440481235
30,0.5890155583388491,0.589219,0.0002034416611509382
2,0.9,0.899809,0.00019100000000005224
22,0.7290000000000001,0.728811,0.00018900000000010575
13,0.4610303819100002,0.461201,0.00017061808999985217
7,0.6324147900000001,0.632583,0.00016820999999989095
23,0.6561000000000001,0.656257,0.0001569999999998517
28,0.5904900000000002,0.590338,0.000152000000000152
12,0.5122559799000002,0.5124,0.0001440200999998087
10,0.9809999999999999,0.980867,0.0001329999999998277
5,0.6561000000000001,0.656225,0.0001249999999998197
4,0.7290000000000001,0.729087,8.699999999994823e-5
26,0.7631913605066132,0.763105,8.636050661314787e-5
33,0.5904900000000002,0.590406,8.400000000019503e-5
31,0.5314410000000002,0.531512,7.09999999998212e-5
8,0.7946099999999999,0.794669,5.900000000003125e-5
14,0.7151489999999999,0.715092,5.699999999997374e-5
9,0.8828999999999999,0.882856,4.399999999993298e-5
32,0.5904900000000002,0.590517,2.6999999999777202e-5
1,1.0,1.0,0.0
